word,rarity,reason
betty,3,outside-filtered-American-60-80
bever,4,outside-filtered-American-60-80
beweep,4,outside-filtered-American-60-80
bez,4,outside-filtered-American-60-80
bhikkhu,4,outside-filtered-American-60-80
bhikshu,4,outside-filtered-American-60-80
bhoy,4,outside-filtered-American-60-80
bibb,4,larger-level-not-approved
bibber,4,larger-level-not-approved
biblist,4,larger-level-not-approved
bic,4,outside-filtered-American-60-80
bice,4,larger-level-not-approved
bidden,4,larger-level-not-approved
bidon,4,outside-filtered-American-60-80
biggy,4,larger-level-not-approved
bikeway,4,larger-level-not-approved
bilbo,3,larger-level-not-approved
bilby,4,larger-level-not-approved
biltong,4,larger-level-not-approved
bim,3,outside-filtered-American-60-80
bimble,4,outside-filtered-American-60-80
bindii,4,outside-filtered-American-60-80
bindle,4,larger-level-not-approved
biner,4,outside-filtered-American-60-80
bingoed,4,outside-filtered-American-60-80
bint,4,larger-level-not-approved
biofact,4,outside-filtered-American-60-80
bion,4,outside-filtered-American-60-80
birdo,4,outside-filtered-American-60-80
biro,4,larger-level-not-approved
bitrate,4,outside-filtered-American-60-80
bitt,4,larger-level-not-approved
bitts,4,larger-level-not-approved
bizarro,4,larger-level-not-approved
bizzo,4,outside-filtered-American-60-80
blad,4,outside-filtered-American-60-80
blagger,4,outside-filtered-American-60-80
blahg,4,outside-filtered-American-60-80
blanc,3,outside-filtered-American-60-80
blanco,4,outside-filtered-American-60-80
blasto,4,outside-filtered-American-60-80
blat,4,larger-level-not-approved
blate,4,larger-level-not-approved
blats,4,larger-level-not-approved
blazar,4,outside-filtered-American-60-80
bleb,4,larger-level-not-approved
blech,4,outside-filtered-American-60-80
bleg,4,outside-filtered-American-60-80
bleh,4,outside-filtered-American-60-80
blem,4,outside-filtered-American-60-80
blenny,4,larger-level-not-approved
blesser,4,larger-level-not-approved
blivet,4,larger-level-not-approved
blook,4,outside-filtered-American-60-80
blore,4,outside-filtered-American-60-80
blud,4,outside-filtered-American-60-80
bludge,4,larger-level-not-approved
bludger,4,larger-level-not-approved
bluggy,4,outside-filtered-American-60-80
blurse,4,outside-filtered-American-60-80
bly,4,outside-filtered-American-60-80
boba,4,outside-filtered-American-60-80
bobbitt,4,outside-filtered-American-60-80
bobo,4,outside-filtered-American-60-80
bobstay,4,larger-level-not-approved
bocca,4,outside-filtered-American-60-80
bodark,4,outside-filtered-American-60-80
boeuf,4,outside-filtered-American-60-80
boga,4,outside-filtered-American-60-80
bogan,4,larger-level-not-approved
bogart,3,larger-level-not-approved
bogroll,4,outside-filtered-American-60-80
bogy,4,outside-filtered-American-60-80
bohrium,4,larger-level-not-approved
boink,4,larger-level-not-approved
bois,4,outside-filtered-American-60-80
bok,4,outside-filtered-American-60-80
boke,4,outside-filtered-American-60-80
bokken,4,outside-filtered-American-60-80
bol,4,outside-filtered-American-60-80
bolide,4,larger-level-not-approved
bolivia,3,larger-level-not-approved
bolo,4,larger-level-not-approved
boloney,4,outside-filtered-American-60-80
bolos,4,larger-level-not-approved
bombus,4,outside-filtered-American-60-80
bona,4,outside-filtered-American-60-80
bonjour,4,outside-filtered-American-60-80
bonne,4,larger-level-not-approved
bonnie,3,outside-filtered-American-60-80
bonze,4,larger-level-not-approved
bonzer,4,larger-level-not-approved
boobie,4,larger-level-not-approved
boodler,4,outside-filtered-American-60-80
boomlet,4,larger-level-not-approved
bor,4,outside-filtered-American-60-80
bora,3,larger-level-not-approved
boracic,4,larger-level-not-approved
borage,4,larger-level-not-approved
borane,4,larger-level-not-approved
borate,4,larger-level-not-approved
bord,4,outside-filtered-American-60-80
bordel,4,larger-level-not-approved
boreen,4,larger-level-not-approved
borg,3,larger-level-not-approved
boric,4,larger-level-not-approved
bork,4,larger-level-not-approved
